@timestamp,RequestId,Duration,Billed Duration,Memory Size,Max Memory Used,Init Duration
2024-05-31 13:54:11.659,b36177bb-0f3f-4bd1-9be0-b215fe0f3f4b,2.47,3,512,81,
2024-05-31 13:54:11.618,fa71994b-5b0e-4eed-836a-3e84c814c3d0,2.14,3,512,81,
2024-05-31 13:54:11.599,8cdf8727-a543-4f2e-a636-5d6e712a5166,2.81,3,512,81,
2024-05-31 13:54:11.571,e03deca8-a53f-4b2c-891d-be01de02f9ad,2.32,3,512,81,
2024-05-31 13:54:11.567,03b5e569-07c3-4990-b70e-7f725d5cab1d,2.44,3,512,81,
2024-05-31 13:54:11.555,b1cf928d-f8e1-40c6-a69c-216d9de6b046,2.05,3,512,81,
2024-05-31 13:54:11.529,a5810d79-f737-4950-ad84-49b0d6fe90fe,2.23,3,512,81,
2024-05-31 13:54:11.525,c6192de3-b972-483a-8798-d642d3c536ec,2.25,3,512,81,
2024-05-31 13:54:11.481,ec20b956-ebe6-4330-8592-ff1974ec65d4,2.34,3,512,81,
2024-05-31 13:54:11.479,9574a2ae-20f7-49a4-8d6c-2754b7a19e09,2.44,3,512,81,
2024-05-31 13:54:11.462,05cf84ea-41d1-49c5-972d-cf52960a6819,1.98,2,512,81,
2024-05-31 13:54:11.451,ead52ef5-52da-43f3-bb3e-bd442870749f,2.10,3,512,81,
2024-05-31 13:54:11.385,603c86fa-6278-4ca7-8147-031f3265a320,1.94,2,512,81,
2024-05-31 13:54:11.380,1f91b55b-e506-44d7-bd1c-2b415edc01df,2.12,3,512,81,
2024-05-31 13:54:11.374,d5057603-a7ca-4a23-962e-a3687aff9f63,2.53,3,512,81,
2024-05-31 13:54:11.336,f9c39fc7-5d2e-4e23-9ba7-fd257365c2f6,2.33,3,512,81,
2024-05-31 13:54:11.336,5e0cde43-1b60-495a-b8c4-ba5d7caf5ec5,2.22,3,512,81,
2024-05-31 13:54:11.282,83ee29c6-5a83-4ad2-8a43-6ac528bc2621,3.81,4,512,81,
2024-05-31 13:54:11.272,c17b2107-2e18-4635-9364-bad01ccf812a,2.15,3,512,81,
2024-05-31 13:54:11.262,1b870c73-e31a-4231-b4f5-dad074281c5d,9.13,10,512,81,
2024-05-31 13:54:11.247,76983400-020f-45b5-be05-2466ebfa9829,3.42,4,512,81,
2024-05-31 13:54:11.220,dbef938d-10fd-4a03-ab98-7d33ea4d93a8,2.15,3,512,81,
2024-05-31 13:54:11.204,e1a9c380-96fc-4163-a884-6e92803ea1d0,2.23,3,512,81,
2024-05-31 13:54:11.196,0a7ff4ec-c7ec-4a5b-8ec6-93668e96541e,2.09,3,512,81,
2024-05-31 13:54:11.132,966afe01-abb5-420b-a67e-422baad93308,2.08,3,512,81,
2024-05-31 13:54:11.127,5cbdddbb-6c3c-4945-bfb1-bb888f136661,2.10,3,512,81,
2024-05-31 13:54:11.110,4d928a32-9526-4fa8-a624-7123fa000c9d,2.17,3,512,81,
2024-05-31 13:54:11.090,5877c232-96fa-4b37-9d89-e4e28f8b9f8d,2.36,3,512,81,
2024-05-31 13:54:11.061,e8035dce-c0e4-4096-9047-a7751fe90308,2.12,3,512,81,
2024-05-31 13:54:11.057,3f1aedbf-116e-406b-8534-48f3325b7e48,2.31,3,512,81,
2024-05-31 13:54:11.047,e88c4831-9e6f-4e79-96e5-fe7ea5602247,2.67,3,512,81,
2024-05-31 13:54:11.007,384ea2db-f384-4803-8bd3-2e76b9124afb,48.36,49,512,81,
2024-05-31 13:54:11.004,b7ee0dd9-9c84-4e7c-a47c-ccec3d1d70de,2.21,3,512,81,
2024-05-31 13:54:10.999,d81f17ae-66a6-46d2-9b42-e4b6bfb5f018,2.31,3,512,81,
2024-05-31 13:54:10.959,89feb2ca-9606-476e-bafe-f524e1d9b310,2.35,3,512,81,
2024-05-31 13:54:10.938,84de4399-20cc-4ed1-9160-ff4f4161a8c0,4.82,5,512,81,
2024-05-31 13:54:10.889,361bc67d-6812-4aba-9cec-4133ba00c368,7.24,8,512,81,
2024-05-31 13:54:10.882,a4299685-1034-4802-b340-cc19f9145277,2.21,3,512,81,
2024-05-31 13:54:10.865,97e2a81b-7600-418f-afb5-ce28c61b1a6e,3.26,4,512,81,
2024-05-31 13:54:10.854,7d31ac53-e7e8-4aa7-8cf9-70aa0a61e28a,2.25,3,512,81,
2024-05-31 13:54:10.808,c2446c15-a934-4032-afbe-a348b03ee63e,2.52,3,512,81,
2024-05-31 13:54:10.787,0f640b96-98e1-40e6-ad25-fe88fd57dd23,2.49,3,512,81,
2024-05-31 13:54:10.782,6a9987f3-bda5-421a-a1b9-761803005829,2.21,3,512,81,
2024-05-31 13:54:10.767,0e440546-e2d4-4664-8fb3-4c59ba826df3,2.26,3,512,81,
2024-05-31 13:54:10.728,aea9d349-b756-44fc-9b36-db66f07d8dfe,2.41,3,512,81,
2024-05-31 13:54:10.708,7b413d87-9e95-4446-8606-72a174f8ce35,2.20,3,512,81,
2024-05-31 13:54:10.656,73b3e085-ef59-4d56-9486-77c390194d70,2.34,3,512,81,
2024-05-31 13:54:10.652,e57167eb-13b4-4ea8-974b-f0a8819ecf9c,2.33,3,512,81,
2024-05-31 13:54:10.622,ea6adec6-1df2-40c4-afa3-a12cd45dc877,2.28,3,512,81,
2024-05-31 13:54:10.619,20415b62-92d0-415c-ac08-72dcbd37b5f6,2.36,3,512,81,
2024-05-31 13:54:10.616,7513b8b3-ed6b-4016-b2a5-269791ec867d,2.18,3,512,81,
2024-05-31 13:54:10.557,f28b3d5f-1f37-44e8-812b-bca6f1851872,2.14,3,512,81,
2024-05-31 13:54:10.554,2d0cfb4b-6b16-4c49-976f-f31a79fa791c,2.06,3,512,81,
2024-05-31 13:54:10.517,efb1ded4-5028-4958-8b28-5d99d808f929,2.08,3,512,81,
2024-05-31 13:54:10.500,32180442-aed8-4990-86bb-5f0094d8afc3,2.30,3,512,81,
2024-05-31 13:54:10.477,ca319c3d-4f0f-4391-9f2f-29c9abdff5ee,2.34,3,512,81,
2024-05-31 13:54:10.455,49fcfa11-58f9-4b57-a754-6193bb270fc6,2.45,3,512,81,
2024-05-31 13:54:10.453,b09741e1-6796-4d7a-982b-987cb7a1de37,2.28,3,512,81,
2024-05-31 13:54:10.428,69f535ce-4c3f-415c-864e-e9009abaf823,3.07,4,512,81,
2024-05-31 13:54:10.401,29b28327-b655-4c0a-8794-b82a3a82fd80,2.53,3,512,81,
2024-05-31 13:54:10.400,fea8a575-6bc3-416f-973c-186023ac67f1,2.17,3,512,81,
2024-05-31 13:54:10.336,fb0e5ee3-757c-4a69-9877-96b6b49f50d4,2.41,3,512,81,
2024-05-31 13:54:10.333,9417a437-5445-454a-b05e-ca99918ebc1a,2.47,3,512,81,
2024-05-31 13:54:10.332,92b2a750-a857-4e03-a672-8131954e4e33,2.10,3,512,81,
2024-05-31 13:54:10.272,c507632e-81b1-49df-bcf0-c7746bb836f9,2.30,3,512,81,
2024-05-31 13:54:10.271,1b7e5f00-e77d-4346-99bb-f1d2bf614894,2.29,3,512,81,
2024-05-31 13:54:10.230,b2e768ae-4f5a-480a-9dc1-566fd5289253,2.69,3,512,81,
2024-05-31 13:54:10.221,1ff31862-a056-4c40-8b45-6aeb03ef3e04,2.11,3,512,81,
2024-05-31 13:54:10.192,b82d0bbd-24fd-4ad6-9796-584280acd632,2.26,3,512,81,
2024-05-31 13:54:10.171,3bcde497-5e64-4a60-b054-a6447d156561,2.10,3,512,81,
2024-05-31 13:54:10.170,3195668e-38ba-4dfd-b3d8-45d0b314c917,2.93,3,512,81,
2024-05-31 13:54:10.133,8f7d1c2f-ddc0-4d04-84fa-a34aa39e7414,2.19,3,512,81,
2024-05-31 13:54:10.122,956caae5-db4b-4682-ad63-938d811dc39d,2.24,3,512,81,
2024-05-31 13:54:10.086,6408bd2d-177c-4494-ae92-44be6205f2f0,2.60,3,512,81,
2024-05-31 13:54:10.052,d8ff1544-4631-42cf-a07a-4a94d86e9487,2.64,3,512,81,
2024-05-31 13:54:10.037,6142913d-6835-4f93-a994-1ce624f47318,2.16,3,512,81,
2024-05-31 13:54:10.035,56dd2979-0879-46a7-92e0-2b429cee9b4a,2.22,3,512,81,
2024-05-31 13:54:10.004,c2930607-2887-4f77-9dbe-1911d8503f4a,2.08,3,512,81,
2024-05-31 13:54:10.001,5b833f55-5e93-4c72-870b-b4e838de273f,2.90,3,512,81,
